Total/Rural/Urban,Area Name,Religious Community,Age-Group,Total Population,Population Males,Population Females,Total Main Workers,Main Workers Male,Main Workers Female,Total Marginal Workers,Marginal Workers Male,Marginal Workers Female,MW Available Total,MW Available Males,MW Available Females,Total Non Workers,Non Workers Male,Non Workers Female,NW Available Total,NW Available Males,NW Available Females
Urban,State - NAGALAND,Christian,60+,16833,8907,7926,5473,3702,1771,1473,636,837,158,75,83,9887,4569,5318,374,194,180
Urban,State - NAGALAND,Sikh,Total,774,532,242,435,410,25,20,10,10,10,3,7,319,112,207,44,17,27
Urban,State - NAGALAND,Sikh,5-9,53,29,24,0,0,0,0,0,0,0,0,0,53,29,24,3,3,0
Urban,State - NAGALAND,Sikh,10-14,46,26,20,0,0,0,0,0,0,0,0,0,46,26,20,6,4,2
Urban,State - NAGALAND,Sikh,15-19,28,13,15,4,4,0,2,1,1,2,1,1,22,8,14,3,2,1
Urban,State - NAGALAND,Sikh,20-24,69,44,25,41,39,2,5,1,4,2,0,2,23,4,19,8,4,4
Urban,State - NAGALAND,Sikh,25-29,154,116,38,117,112,5,0,0,0,0,0,0,37,4,33,12,2,10
Urban,State - NAGALAND,Sikh,30-34,114,87,27,87,82,5,5,3,2,3,2,1,22,2,20,6,1,5
Urban,State - NAGALAND,Sikh,35-39,68,50,18,52,50,2,2,0,2,2,0,2,14,0,14,1,0,1
Urban,State - NAGALAND,Sikh,40-49,113,89,24,90,85,5,3,2,1,1,0,1,20,2,18,3,1,2
Urban,State - NAGALAND,Sikh,50-59,37,20,17,24,20,4,0,0,0,0,0,0,13,0,13,1,0,1
Urban,State - NAGALAND,Sikh,60-69,25,19,6,14,13,1,3,3,0,0,0,0,8,3,5,1,0,1
Urban,State - NAGALAND,Sikh,70-79,9,5,4,4,3,1,0,0,0,0,0,0,5,2,3,0,0,0
Urban,State - NAGALAND,Sikh,80+,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Urban,State - NAGALAND,Sikh,Age not stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Urban,State - NAGALAND,Sikh,15-59,583,419,164,415,392,23,17,7,10,10,3,7,151,20,131,34,10,24
Urban,State - NAGALAND,Sikh,60+,36,26,10,20,18,2,3,3,0,0,0,0,13,5,8,1,0,1
Urban,State - NAGALAND,Buddhist,Total,2281,1128,1153,729,500,229,169,72,97,57,36,21,1383,556,827,144,57,87
Urban,State - NAGALAND,Buddhist,5-9,233,122,111,1,0,1,7,3,4,1,0,1,225,119,106,5,3,2
Urban,State - NAGALAND,Buddhist,10-14,263,123,140,4,3,1,20,9,11,1,0,1,239,111,128,5,2,3
Urban,State - NAGALAND,Buddhist,15-19,266,120,146,12,6,6,27,19,8,13,11,2,227,95,132,35,12,23
Urban,State - NAGALAND,Buddhist,20-24,260,131,129,84,50,34,24,11,13,14,9,5,152,70,82,54,24,30
Urban,State - NAGALAND,Buddhist,25-29,282,161,121,152,114,38,24,13,11,13,9,4,106,34,72,25,14,11
Urban,State - NAGALAND,Buddhist,30-34,185,88,97,125,81,44,19,3,16,6,1,5,41,4,37,7,0,7
Urban,State - NAGALAND,Buddhist,35-39,145,73,72,93,66,27,10,3,7,1,1,0,42,4,38,5,0,5
Urban,State - NAGALAND,Buddhist,40-49,222,107,115,144,97,47,25,6,19,4,3,1,53,4,49,6,2,4
Urban,State - NAGALAND,Buddhist,50-59,128,70,58,88,65,23,7,2,5,4,2,2,33,3,30,1,0,1
Urban,State - NAGALAND,Buddhist,60-69,54,26,28,23,16,7,5,3,2,0,0,0,26,7,19,0,0,0
Urban,State - NAGALAND,Buddhist,70-79,12,6,6,2,1,1,0,0,0,0,0,0,10,5,5,1,0,1
Urban,State - NAGALAND,Buddhist,80+,7,4,3,1,1,0,1,0,1,0,0,0,5,3,2,0,0,0
Urban,State - NAGALAND,Buddhist,Age not stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Urban,State - NAGALAND,Buddhist,15-59,1488,750,738,698,479,219,136,57,79,55,36,19,654,214,440,133,52,81
Urban,State - NAGALAND,Buddhist,60+,73,36,37,26,18,8,6,3,3,0,0,0,41,15,26,1,0,1
Urban,State - NAGALAND,Jain,Total,2234,1143,1091,703,630,73,51,22,29,15,10,5,1480,491,989,73,23,50
Urban,State - NAGALAND,Jain,5-9,185,93,92,1,1,0,2,2,0,1,1,0,182,90,92,1,1,0
Urban,State - NAGALAND,Jain,10-14,195,96,99,0,0,0,4,2,2,3,2,1,191,94,97,1,1,0
Urban,State - NAGALAND,Jain,15-19,174,90,84,6,3,3,2,2,0,1,1,0,166,85,81,8,3,5
Urban,State - NAGALAND,Jain,20-24,160,76,84,26,20,6,4,2,2,3,1,2,130,54,76,19,9,10
Urban,State - NAGALAND,Jain,25-29,203,99,104,81,72,9,8,3,5,2,1,1,114,24,90,22,6,16
Urban,State - NAGALAND,Jain,30-34,189,93,96,95,85,10,5,2,3,0,0,0,89,6,83,11,3,8
Urban,State - NAGALAND,Jain,35-39,195,95,100,101,86,15,7,2,5,1,1,0,87,7,80,3,0,3
Urban,State - NAGALAND,Jain,40-49,336,183,153,180,166,14,12,3,9,2,1,1,144,14,130,3,0,3
Urban,State - NAGALAND,Jain,50-59,212,118,94,124,112,12,2,1,1,1,1,0,86,5,81,5,0,5
Urban,State - NAGALAND,Jain,60-69,138,70,68,64,60,4,4,2,2,1,1,0,70,8,62,0,0,0
Urban,State - NAGALAND,Jain,70-79,56,27,29,19,19,0,1,1,0,0,0,0,36,7,29,0,0,0
Urban,State - NAGALAND,Jain,80+,21,12,9,6,6,0,0,0,0,0,0,0,15,6,9,0,0,0
Urban,State - NAGALAND,Jain,Age not stated,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Urban,State - NAGALAND,Jain,15-59,1469,754,715,613,544,69,40,15,25,10,6,4,816,195,621,71,21,50
Urban,State - NAGALAND,Jain,60+,215,109,106,89,85,4,5,3,2,1,1,0,121,21,100,0,0,0
Urban,State - NAGALAND,Other religious communities,Total,217,106,111,73,37,36,42,19,23,7,4,3,102,50,52,7,3,4
Urban,State - NAGALAND,Other religious communities,5-9,21,11,10,0,0,0,4,3,1,1,1,0,17,8,9,0,0,0
Urban,State - NAGALAND,Other religious communities,10-14,26,15,11,1,0,1,11,5,6,2,1,1,14,10,4,1,1,0
Urban,State - NAGALAND,Other religious communities,15-19,25,13,12,3,1,2,12,7,5,1,0,1,10,5,5,0,0,0
Urban,State - NAGALAND,Other religious communities,20-24,24,15,9,7,3,4,4,1,3,1,1,0,13,11,2,2,1,1
Urban,State - NAGALAND,Other religious communities,25-29,14,7,7,7,3,4,1,1,0,1,1,0,6,3,3,2,1,1
Urban,State - NAGALAND,Other religious communities,30-34,13,6,7,5,5,0,5,1,4,0,0,0,3,0,3,2,0,2
Urban,State - NAGALAND,Other religious communities,35-39,15,6,9,9,5,4,1,0,1,1,0,1,5,1,4,0,0,0
Urban,State - NAGALAND,Other religious communities,40-49,23,12,11,16,11,5,3,1,2,0,0,0,4,0,4,0,0,0
Urban,State - NAGALAND,Other religious communities,50-59,16,5,11,12,5,7,0,0,0,0,0,0,4,0,4,0,0,0
Urban,State - NAGALAND,Other religious communities,60-69,8,2,6,4,2,2,1,0,1,0,0,0,3,0,3,0,0,0
Urban,State - NAGALAND,Other religious communities,70-79,8,3,5,6,2,4,0,0,0,0,0,0,2,1,1,0,0,0
Urban,State - NAGALAND,Other religious communities,80+,7,3,4,3,0,3,0,0,0,0,0,0,4,3,1,0,0,0
Urban,State - NAGALAND,Other religious communities,Age not stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Urban,State - NAGALAND,Other religious communities,15-59,130,64,66,59,33,26,26,11,15,4,2,2,45,20,25,6,2,4
Urban,State - NAGALAND,Other religious communities,60+,23,8,15,13,4,9,1,0,1,0,0,0,9,4,5,0,0,0
Total,State - MANIPUR,All religious communities,Total,2855794,1438586,1417208,974163,615135,359028,330447,124273,206174,142861,63532,79329,1551184,699178,852006,218266,97892,120374
Total,State - MANIPUR,All religious communities,5-9,291243,149766,141477,3296,1762,1534,7071,3644,3427,2460,1291,1169,280876,144360,136516,7442,3830,3612
Total,State - MANIPUR,All religious communities,10-14,313763,161146,152617,8509,4602,3907,15210,7511,7699,5224,2578,2646,290044,149033,141011,14274,7280,6994
Total,State - MANIPUR,All religious communities,15-19,287008,144495,142513,34448,19174,15274,33281,15218,18063,17380,8482,8898,219279,110103,109176,54621,28246,26375
Total,State - MANIPUR,All religious communities,20-24,281782,139587,142195,93045,55815,37230,49267,20285,28982,28122,13319,14803,139470,63487,75983,57781,28911,28870
Total,State - MANIPUR,All religious communities,25-29,270477,132888,137589,134782,84692,50090,50360,18523,31837,26995,11855,15140,85335,29673,55662,36884,15759,21125
Total,State - MANIPUR,All religious communities,30-34,220954,109678,111276,129908,83582,46326,38979,13542,25437,18651,8076,10575,52067,12554,39513,18793,6594,12199
Total,State - MANIPUR,All religious communities,35-39,198453,98019,100434,125414,80630,44784,33637,10850,22787,14375,5874,8501,39402,6539,32863,11297,2894,8403
Total,State - MANIPUR,All religious communities,40-49,317859,159813,158046,214904,136730,78174,48268,15013,33255,16419,6639,9780,54687,8070,46617,9477,2123,7354
Total,State - MANIPUR,All religious communities,50-59,209776,106007,103769,139989,89438,50551,29822,9403,20419,8098,3081,5017,39965,7166,32799,4006,892,3114
Total,State - MANIPUR,All religious communities,60-69,118545,59785,58760,61703,40018,21685,16040,6238,9802,3502,1534,1968,40802,13529,27273,2326,799,1527
Total,State - MANIPUR,All religious communities,70-79,55681,27439,28242,19842,13167,6675,5826,2732,3094,1021,501,520,30013,11540,18473,643,242,401
Total,State - MANIPUR,All religious communities,80+,25794,12571,13223,6084,4047,2037,1890,1000,890,334,181,153,17820,7524,10296,339,145,194
Total,State - MANIPUR,All religious communities,Age not stated,7777,4232,3545,2239,1478,761,796,314,482,280,121,159,4742,2440,2302,383,177,206
Total,State - MANIPUR,All religious communities,15-59,1786309,890487,895822,872490,550061,322429,283614,102834,180780,130040,57326,72714,630205,237592,392613,192859,85419,107440
Total,State - MANIPUR,All religious communities,60+,200020,99795,100225,87629,57232,30397,23756,9970,13786,4857,2216,2641,88635,32593,56042,3308,1186,2122
Total,State - MANIPUR,Hindu,Total,1181876,596220,585656,406824,278581,128243,132936,44558,88378,58912,23464,35448,642116,273081,369035,95017,39053,55964
Total,State - MANIPUR,Hindu,5-9,107726,55118,52608,576,300,276,1231,647,584,394,200,194,105919,54171,51748,2854,1472,1382
Total,State - MANIPUR,Hindu,10-14,116035,59241,56794,1705,1015,690,2890,1324,1566,1169,512,657,111440,56902,54538,5814,2925,2889
Total,State - MANIPUR,Hindu,15-19,98961,49708,49253,8996,5541,3455,8694,3650,5044,4760,2188,2572,81271,40517,40754,19665,10144,9521
Total,State - MANIPUR,Hindu,20-24,107688,53781,53907,34913,23538,11375,17611,6567,11044,10302,4484,5818,55164,23676,31488,23858,11418,12440
Total,State - MANIPUR,Hindu,25-29,115338,57535,57803,56317,38937,17380,20799,7002,13797,11611,4629,6982,38222,11596,26626,17439,6819,10620
Total,State - MANIPUR,Hindu,30-34,98878,49593,49285,55778,39212,16566,17286,5447,11839,8718,3396,5322,25814,4934,20880,9730,2940,6790
Total,State - MANIPUR,Hindu,35-39,91735,46262,45473,55465,38910,16555,15594,4646,10948,7031,2616,4415,20676,2706,17970,6216,1283,4933
Total,State - MANIPUR,Hindu,40-49,144421,74446,69975,93853,64530,29323,22400,6569,15831,8137,2994,5143,28168,3347,24821,5204,940,4264
Total,State - MANIPUR,Hindu,50-59,97535,48305,49230,61689,40840,20849,14374,4018,10356,4169,1373,2796,21472,3447,18025,2215,410,1805
Total,State - MANIPUR,Hindu,60-69,57763,28394,29369,26183,17749,8434,7930,2801,5129,1778,682,1096,23650,7844,15806,1322,434,888
Total,State - MANIPUR,Hindu,70-79,29156,14023,15133,8202,5747,2455,2929,1324,1605,557,267,290,18025,6952,11073,353,124,229
Total,State - MANIPUR,Hindu,80+,13712,6476,7236,2259,1619,640,887,461,426,156,79,77,10566,4396,6170,165,68,97
Total,State - MANIPUR,Hindu,Age not stated,2883,1563,1320,888,643,245,311,102,209,130,44,86,1684,818,866,182,76,106
Total,State - MANIPUR,Hindu,15-59,754556,379630,374926,367011,251508,115503,116758,37899,78859,54728,21680,33048,270787,90223,180564,84327,33954,50373
Total,State - MANIPUR,Hindu,60+,100631,48893,51738,36644,25115,11529,11746,4586,7160,2491,1028,1463,52241,19192,33049,1840,626,1214
Total,State - MANIPUR,Muslim,Total,239836,120404,119432,57820,43536,14284,32494,11366,21128,14454,6829,7625,149522,65502,84020,13467,5529,7938
Total,State - MANIPUR,Muslim,5-9,33319,17070,16249,117,68,49,285,134,151,141,73,68,32917,16868,16049,402,201,201
Total,State - MANIPUR,Muslim,10-14,31386,15935,15451,486,306,180,1082,480,602,478,215,263,29818,15149,14669,1094,549,545
Total,State - MANIPUR,Muslim,15-19,26627,13043,13584,3069,2091,978,4099,1660,2439,2214,1055,1159,19459,9292,10167,3631,1817,1814
Total,State - MANIPUR,Muslim,20-24,23569,11181,12388,6772,4805,1967,5757,2159,3598,3112,1489,1623,11040,4217,6823,3473,1630,1843
Total,State - MANIPUR,Muslim,25-29,21482,10382,11100,9028,6807,2221,5494,1918,3576,2756,1342,1414,6960,1657,5303,2040,719,1321
Total,State - MANIPUR,Muslim,30-34,15588,7787,7801,7748,5939,1809,3769,1227,2542,1673,801,872,4071,621,3450,1023,257,766
Total,State - MANIPUR,Muslim,35-39,14499,7266,7233,7837,5933,1904,3276,1013,2263,1392,621,771,3386,320,3066,664,118,546
Total,State - MANIPUR,Muslim,40-49,20899,10429,10470,11562,8794,2768,4447,1200,3247,1500,650,850,4890,435,4455,596,100,496
Total,State - MANIPUR,Muslim,50-59,12949,6823,6126,7138,5618,1520,2516,775,1741,753,341,412,3295,430,2865,296,54,242
Total,State - MANIPUR,Muslim,60-69,7088,3738,3350,2981,2337,644,1248,553,695,334,190,144,2859,848,2011,164,53,111
Total,State - MANIPUR,Muslim,70-79,2641,1373,1268,759,585,174,354,180,174,65,33,32,1528,608,920,40,13,27
Total,State - MANIPUR,Muslim,80+,1100,578,522,223,179,44,113,50,63,26,15,11,764,349,415,22,5,17
Total,State - MANIPUR,Muslim,Age not stated,557,310,247,100,74,26,54,17,37,10,4,6,403,219,184,22,13,9
Total,State - MANIPUR,Muslim,15-59,135613,66911,68702,53154,39987,13167,29358,9952,19406,13400,6299,7101,53101,16972,36129,11723,4695,7028
Total,State - MANIPUR,Muslim,60+,10829,5689,5140,3963,3101,862,1715,783,932,425,238,187,5151,1805,3346,226,71,155
Total,State - MANIPUR,Christian,Total,1179043,595478,583565,425551,237583,187968,135201,58250,76951,55897,27735,28162,618291,299645,318646,89146,44725,44421
Total,State - MANIPUR,Christian,5-9,125614,65028,60586,2386,1278,1108,5326,2743,2583,1845,979,866,117902,61007,56895,3667,1896,1771
Total,State - MANIPUR,Christian,10-14,139828,72516,67312,5874,3027,2847,10640,5455,5185,3342,1749,1593,123314,64034,59280,6047,3136,2911
Total,State - MANIPUR,Christian,15-19,138798,70390,68408,20125,10242,9883,18453,9112,9341,9342,4759,4583,100220,51036,49184,26748,13921,12827
Total,State - MANIPUR,Christian,20-24,127403,63329,64074,44082,22809,21273,21953,10117,11836,12406,6329,6077,61368,30403,30965,25231,13341,11890
Total,State - MANIPUR,Christian,25-29,109384,53326,56058,57905,31304,26601,19446,8069,11377,10068,4852,5216,32033,13953,18080,13731,6787,6944
Total,State - MANIPUR,Christian,30-34,85653,42196,43457,54653,30599,24054,13996,5609,8387,6270,3078,3192,17004,5988,11016,6134,2822,3312
Total,State - MANIPUR,Christian,35-39,73208,35413,37795,50909,28356,22553,11246,4113,7133,4286,2020,2266,11053,2944,8109,3086,1200,1886
Total,State - MANIPUR,Christian,40-49,122511,60129,62382,90507,50831,39676,16301,5695,10606,4766,2232,2534,15703,3603,12100,2509,862,1647
Total,State - MANIPUR,Christian,50-59,79009,40881,38128,58483,34634,23849,9739,3657,6082,2143,1005,1138,10787,2590,8197,1005,332,673
Total,State - MANIPUR,Christian,60-69,41910,21687,20223,27092,16195,10897,5097,2169,2928,927,460,467,9721,3323,6398,570,226,344
Total,State - MANIPUR,Christian,70-79,18451,9466,8985,9364,5759,3605,1944,959,985,275,147,128,7143,2748,4395,163,81,82
Total,State - MANIPUR,Christian,80+,8620,4455,4165,3222,1997,1225,728,396,332,119,70,49,4670,2062,2608,123,63,60
Total,State - MANIPUR,Christian,Age not stated,3183,1701,1482,949,552,397,332,156,176,108,55,53,1902,993,909,132,58,74
Total,State - MANIPUR,Christian,15-59,735966,365664,370302,376664,208775,167889,111134,46372,64762,49281,24275,25006,248168,110517,137651,78444,39265,39179
Total,State - MANIPUR,Christian,60+,68981,35608,33373,39678,23951,15727,7769,3524,4245,1321,677,644,21534,8133,13401,856,370,486
Total,State - MANIPUR,Sikh,Total,1527,964,563,751,648,103,80,43,37,34,22,12,696,273,423,76,28,48
Total,State - MANIPUR,Sikh,5-9,114,58,56,3,2,1,3,2,1,0,0,0,108,54,54,1,0,1
Total,State - MANIPUR,Sikh,10-14,94,51,43,3,2,1,6,3,3,1,0,1,85,46,39,6,3,3
Total,State - MANIPUR,Sikh,15-19,85,43,42,11,5,6,4,2,2,2,2,0,70,36,34,16,7,9
Total,State - MANIPUR,Sikh,20-24,141,89,52,65,58,7,11,8,3,9,7,2,65,23,42,20,7,13
Total,State - MANIPUR,Sikh,25-29,209,154,55,147,133,14,11,7,4,8,5,3,51,14,37,13,7,6
Total,State - MANIPUR,Sikh,30-34,188,129,59,131,115,16,12,7,5,7,4,3,45,7,38,9,2,7
Total,State - MANIPUR,Sikh,35-39,136,95,41,102,87,15,9,5,4,3,3,0,25,3,22,6,0,6
Total,State - MANIPUR,Sikh,40-49,197,136,61,149,132,17,12,4,8,2,1,1,36,0,36,2,0,2
Total,State - MANIPUR,Sikh,50-59,119,69,50,78,63,15,11,4,7,2,0,2,30,2,28,1,0,1
Total,State - MANIPUR,Sikh,60-69,54,36,18,38,31,7,1,1,0,0,0,0,15,4,11,0,0,0
Total,State - MANIPUR,Sikh,70-79,35,19,16,10,8,2,0,0,0,0,0,0,25,11,14,1,1,0
Total,State - MANIPUR,Sikh,80+,13,8,5,6,5,1,0,0,0,0,0,0,7,3,4,1,1,0
Total,State - MANIPUR,Sikh,Age not stated,17,11,6,8,7,1,0,0,0,0,0,0,9,4,5,0,0,0
Total,State - MANIPUR,Sikh,15-59,1075,715,360,683,593,90,70,37,33,33,22,11,322,85,237,67,23,44
Total,State - MANIPUR,Sikh,60+,102,63,39,54,44,10,1,1,0,0,0,0,47,18,29,2,2,0
Total,State - MANIPUR,Buddhist,Total,7084,3654,3430,2202,1408,794,570,252,318,239,117,122,4312,1994,2318,643,297,346
Total,State - MANIPUR,Buddhist,5-9,768,396,372,15,9,6,18,10,8,9,6,3,735,377,358,21,9,12
Total,State - MANIPUR,Buddhist,10-14,875,472,403,28,16,12,28,17,11,12,7,5,819,439,380,67,33,34
Total,State - MANIPUR,Buddhist,15-19,817,425,392,125,63,62,57,30,27,28,13,15,635,332,303,161,98,63
Total,State - MANIPUR,Buddhist,20-24,708,344,364,211,129,82,100,42,58,50,22,28,397,173,224,166,75,91
Total,State - MANIPUR,Buddhist,25-29,668,355,313,338,234,104,96,33,63,45,21,24,234,88,146,92,41,51
Total,State - MANIPUR,Buddhist,30-34,503,237,266,288,183,105,68,25,43,29,13,16,147,29,118,45,14,31
Total,State - MANIPUR,Buddhist,35-39,465,224,241,293,184,109,46,21,25,19,9,10,126,19,107,26,7,19
Total,State - MANIPUR,Buddhist,40-49,682,360,322,445,297,148,80,36,44,29,15,14,157,27,130,35,6,29
Total,State - MANIPUR,Buddhist,50-59,438,231,207,283,181,102,44,23,21,11,6,5,111,27,84,13,5,8
Total,State - MANIPUR,Buddhist,60-69,230,122,108,104,70,34,18,10,8,4,4,0,108,42,66,11,6,5
Total,State - MANIPUR,Buddhist,70-79,124,61,63,37,19,18,6,2,4,1,1,0,81,40,41,2,1,1
Total,State - MANIPUR,Buddhist,80+,54,27,27,19,14,5,6,2,4,1,0,1,29,11,18,3,1,2
Total,State - MANIPUR,Buddhist,Age not stated,52,29,23,16,9,7,3,1,2,1,0,1,33,19,14,1,1,0
Total,State - MANIPUR,Buddhist,15-59,4281,2176,2105,1983,1271,712,491,210,281,211,99,112,1807,695,1112,538,246,292
Total,State - MANIPUR,Buddhist,60+,408,210,198,160,103,57,30,14,16,6,5,1,218,93,125,16,8,8
Total,State - MANIPUR,Jain,Total,1692,862,830,520,433,87,159,85,74,66,34,32,1013,344,669,82,40,42
Total,State - MANIPUR,Jain,5-9,145,79,66,1,1,0,5,1,4,1,0,1,139,77,62,3,2,1
Total,State - MANIPUR,Jain,10-14,159,78,81,2,2,0,19,11,8,16,10,6,138,65,73,8,5,3
Total,State - MANIPUR,Jain,15-19,143,65,78,8,4,4,23,9,14,17,7,10,112,52,60,27,8,19
Total,State - MANIPUR,Jain,20-24,137,72,65,41,27,14,17,6,11,10,5,5,79,39,40,26,16,10
Total,State - MANIPUR,Jain,25-29,139,70,69,51,41,10,23,15,8,13,8,5,65,14,51,11,6,5
Total,State - MANIPUR,Jain,30-34,131,67,64,67,57,10,13,8,5,2,1,1,51,2,49,2,0,2
Total,State - MANIPUR,Jain,35-39,131,63,68,64,58,6,10,2,8,2,0,2,57,3,54,2,1,1
Total,State - MANIPUR,Jain,40-49,242,126,116,123,104,19,25,18,7,1,1,0,94,4,90,1,0,1
Total,State - MANIPUR,Jain,50-59,154,80,74,85,71,14,10,8,2,0,0,0,59,1,58,0,0,0
Total,State - MANIPUR,Jain,60-69,96,49,47,45,41,4,9,4,5,2,1,1,42,4,38,2,2,0
Total,State - MANIPUR,Jain,70-79,41,22,19,24,20,4,3,1,2,1,0,1,14,1,13,0,0,0
Total,State - MANIPUR,Jain,80+,22,12,10,8,6,2,1,1,0,0,0,0,13,5,8,0,0,0
Total,State - MANIPUR,Jain,Age not stated,6,4,2,1,1,0,1,1,0,1,1,0,4,2,2,0,0,0
Total,State - MANIPUR,Jain,15-59,1077,543,534,439,362,77,121,66,55,45,22,23,517,115,402,69,31,38
Total,State - MANIPUR,Jain,60+,159,83,76,77,67,10,13,6,7,3,1,2,69,10,59,2,2,0
Total,State - MANIPUR,Other religious communities,Total,233767,115715,118052,77912,51707,26205,27789,9209,18580,12727,5088,7639,128066,54799,73267,18777,7701,11076
Total,State - MANIPUR,Other religious communities,5-9,22248,11316,10932,158,82,76,154,76,78,54,25,29,21936,11158,10778,456,230,226
Total,State - MANIPUR,Other religious communities,10-14,24060,12159,11901,346,199,147,462,184,278,176,72,104,23252,11776,11476,1174,599,575
Total,State - MANIPUR,Other religious communities,15-19,20326,10163,10163,1956,1150,806,1835,696,1139,961,430,531,16535,8317,8218,4078,2091,1987
Total,State - MANIPUR,Other religious communities,20-24,21015,10202,10813,6656,4271,2385,3646,1308,2338,2136,933,1203,10713,4623,6090,4720,2273,2447
Total,State - MANIPUR,Other religious communities,25-29,22265,10605,11660,10588,7016,3572,4294,1402,2892,2388,954,1434,7383,2187,5196,3379,1302,2077
Total,State - MANIPUR,Other religious communities,30-34,19327,9374,9953,10930,7328,3602,3696,1151,2545,1884,746,1138,4701,895,3806,1770,523,1247
Total,State - MANIPUR,Other religious communities,35-39,17670,8471,9199,10423,6961,3462,3328,1008,2320,1597,592,1005,3919,502,3417,1251,267,984
Total,State - MANIPUR,Other religious communities,40-49,28075,13915,14160,17799,11858,5941,4852,1442,3410,1921,717,1204,5424,615,4809,1096,204,892
Total,State - MANIPUR,Other religious communities,50-59,19106,9477,9629,11985,7938,4047,3042,893,2149,1001,352,649,4079,646,3433,464,87,377
Total,State - MANIPUR,Other religious communities,60-69,11147,5671,5476,5159,3552,1607,1699,687,1012,445,194,251,4289,1432,2857,248,76,172
Total,State - MANIPUR,Other religious communities,70-79,5105,2440,2665,1406,1015,391,577,263,314,119,52,67,3122,1162,1960,82,22,60
Total,State - MANIPUR,Other religious communities,80+,2206,989,1217,337,223,114,146,85,61,29,15,14,1723,681,1042,25,7,18
Total,State - MANIPUR,Other religious communities,Age not stated,630,316,314,169,114,55,58,14,44,16,6,10,403,188,215,34,20,14
Total,State - MANIPUR,Other religious communities,15-59,147784,72207,75577,70337,46522,23815,24693,7900,16793,11888,4724,7164,52754,17785,34969,16758,6747,10011
Total,State - MANIPUR,Other religious communities,60+,18458,9100,9358,6902,4790,2112,2422,1035,1387,593,261,332,9134,3275,5859,355,105,250
Rural,State - MANIPUR,All religious communities,Total,2021640,1026884,994756,713482,442482,271000,245679,91603,154076,105454,46761,58693,1062479,492799,569680,135977,62931,73046
Rural,State - MANIPUR,All religious communities,5-9,215420,111112,104308,2838,1530,1308,5997,3109,2888,2074,1092,982,206585,106473,100112,5439,2808,2631
Rural,State - MANIPUR,All religious communities,10-14,230842,119214,111628,7426,3968,3458,12931,6468,6463,4294,2181,2113,210485,108778,101707,9997,5129,4868
Rural,State - MANIPUR,All religious communities,15-19,213039,107906,105133,29287,15987,13300,27610,12748,14862,14101,6937,7164,156142,79171,76971,38113,19913,18200
